log,ks,out_of_range,mean_train,mean_test
bpic2011,0.4004318405066789,0.19481591546970448,387.80987468793177,348.96602278355624
production,0.4996668887408394,0.0,42.4636908727515,34.41048824593128
rtf,0.17273832909601067,0.015017430946634488,9910.905810406035,9426.353360150175
bpic2012_w,0.6240612478556935,15.14052583862194,663.2860646973731,754.9382744031429
bpic2012_all,0.2531227846605031,0.0023110700254217703,661.726701761395,659.2458285186041
sepsis,0.2987098908096116,0.0,66.77885770448837,61.22033257747543
bpic2017,0.2267978506584053,0.0,2209.726496086779,2163.0115153236425
helpdesk,0.654396151724305,3.127853881278539,168.5236081302866,93.79977168949772
domestic,0.38750695170555954,0.008609556607834697,219.25879946064072,293.4345243219974
